CMD=python3 /home/jpi/Desktop/EVSE/plc_firmware/tools/external_controller_single_module_charge_test.py --plc-port /dev/serial/by-id/usb-Espressif_USB_JTAG_serial_debug_unit_B8:F8:62:4B:C5:20-if00 --plc-id 1 --controller-id 1 --allow-zero-load-ready --current-demand-hold-s 900 --session-start-timeout-s 1200 --plc-log /home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_continuous15min_zeroload_retry_20260316_002439.log --can-log /home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_continuous15min_zeroload_retry_20260316_002439_can.log --summary-file /home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_continuous15min_zeroload_retry_20260316_002439_summary.json
START_TS=2026-03-16T00:24:39+05:30
PLC_LOG=/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_continuous15min_zeroload_retry_20260316_002439.log
CAN_LOG=/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_continuous15min_zeroload_retry_20260316_002439_can.log
SUMMARY_FILE=/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_continuous15min_zeroload_retry_20260316_002439_summary.json
PLC_LOG=/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_continuous15min_zeroload_retry_20260316_002439.log
CAN_LOG=/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_continuous15min_zeroload_retry_20260316_002439_can.log
SUMMARY_FILE=/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_continuous15min_zeroload_retry_20260316_002439_summary.json
[PHASE] bootstrap
[BOOT] mode=external_controller plc_id=1 connector_id=1 can_stack=0 module_mgr=0
[MODULE] addr=1 grp=1 rated=30.0A status=0x00400000 flags=OFF
[PHASE] wait_for_session
[CTRL] remote start -> B1 to B2
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
[PROGRESS] phase=wait_for_session stage=current_demand relay1=1 targetV=500.0 targetI=45.0 presentV=499.9 presentI=0.0 ready=1 cp=C slac=1 hlc=1
